Gender,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,Would you say that you love America?,Have you ever gone hunting?,Have you ever eaten a kale salad?
Female,Disapprove,College degree,White,Yes,Yes,No
Female,Disapprove,Some college,Black,Yes,No,No
Female,DK/REF,College degree,DK/REF,Yes,No,Yes
Male,Disapprove,Graduate degree,Other,Yes,No,Yes
Female,Disapprove,Graduate degree,White,Yes,Yes,No
Male,DK/REF,College degree,White,Yes,No,No
Male,Approve,College degree,White,Yes,Yes,DK/REF
Female,Disapprove,College degree,Black,Yes,No,No
Male,Approve,College degree,White,Yes,Yes,Yes
Other,Disapprove,College degree,DK/REF,Yes,No,No
Female,DK/REF,Graduate degree,White,Yes,No,Yes
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes
Male,Disapprove,Graduate degree,White,No,No,Yes
Male,Approve,Some college,White,Yes,Yes,No
Female,Disapprove,Some college,Black,Yes,No,Yes
Male,Approve,Graduate degree,DK/REF,Yes,No,Yes
Female,Disapprove,High school,Black,Yes,No,No
Male,Approve,Graduate degree,White,Yes,Yes,DK/REF
Male,Approve,Graduate degree,DK/REF,Yes,No,DK/REF
Male,Approve,High school,White,Yes,Yes,No
Female,Disapprove,High school,White,Yes,No,No
Female,Approve,Some college,White,Yes,No,Yes
Female,Approve,Other,Latino,Yes,Yes,No
Other,Approve,College degree,DK/REF,Yes,Yes,Yes
Male,Approve,Some college,White,Yes,Yes,No
Other,DK/REF,Other,White,Yes,Yes,Yes
Male,Approve,Graduate degree,White,Yes,No,No
Female,Disapprove,High school,Black,Yes,No,Yes
Male,Approve,High school,White,Yes,Yes,DK/REF
Male,Disapprove,Some college,White,Yes,Yes,Yes
Female,Disapprove,Graduate degree,Asian,Yes,No,No
Male,DK/REF,Other,Asian,Yes,No,No
Male,Disapprove,High school,White,Yes,Yes,No
Male,Disapprove,High school,Black,Yes,Yes,Yes
Male,DK/REF,College degree,Asian,Yes,No,DK/REF
Male,Approve,High school,White,Yes,No,No
Male,Approve,Some college,White,Yes,Yes,No
DK/REF,Approve,College degree,White,Yes,Yes,Yes
Male,Approve,High school,White,Yes,No,No
Female,Disapprove,High school,White,Yes,No,No
Female,Disapprove,Some college,White,Yes,Yes,No
Female,Approve,College degree,White,Yes,No,Yes
Male,Disapprove,Graduate degree,White,Yes,No,No
Male,Disapprove,Some college,Other,Yes,Yes,No
Male,DK/REF,High school,Other,No,No,No
Male,Disapprove,Some college,Black,Yes,No,Yes
Male,Approve,College degree,White,Yes,No,No
Female,Disapprove,High school,Latino,Yes,No,Yes
Female,Approve,High school,White,Yes,Yes,Yes
Female,Approve,Some college,Other,Yes,No,No
Other,Disapprove,College degree,DK/REF,Yes,Yes,No
Female,Disapprove,Graduate degree,White,Yes,Yes,No
Female,Disapprove,High school,White,Yes,No,No
Male,Approve,Some college,Other,Yes,No,Yes
Male,DK/REF,Graduate degree,White,Yes,No,Yes
Male,Approve,Some college,White,Yes,Yes,Yes
Female,Disapprove,Graduate degree,White,Yes,No,Yes
Female,Disapprove,Some college,White,Yes,Yes,No
Female,DK/REF,Other,Latino,Yes,No,No
Female,Disapprove,Some college,Black,Yes,No,Yes
Male,Disapprove,College degree,White,Yes,No,Yes
Female,Disapprove,Graduate degree,White,Yes,Yes,Yes
Male,Disapprove,Graduate degree,Black,Yes,No,No
Female,Disapprove,Some college,Black,Yes,No,No
Female,Approve,High school,Black,Yes,No,Yes
Male,Approve,College degree,Black,Yes,No,No
Male,Disapprove,Graduate degree,White,Yes,No,No
Male,Disapprove,College degree,DK/REF,No,No,No
Male,Approve,High school,White,Yes,Yes,No
Male,Disapprove,Some college,Other,Yes,Yes,Yes
Male,Disapprove,High school,Black,Yes,No,No
Male,Disapprove,Graduate degree,White,Yes,No,Yes
Female,Disapprove,College degree,Black,Yes,No,No
Male,Approve,High school,White,Yes,Yes,No
Female,DK/REF,High school,Latino,Yes,No,Yes
Male,Approve,Graduate degree,White,Yes,Yes,Yes
Female,Approve,Some college,Black,Yes,Yes,Yes
Female,Disapprove,College degree,White,Yes,Yes,Yes
Male,Approve,Some college,White,Yes,Yes,Yes
Male,Disapprove,Some college,Latino,Yes,Yes,Yes
Female,Disapprove,College degree,White,Yes,No,Yes
Male,Approve,High school,White,Yes,Yes,No
Male,Approve,High school,White,Yes,Yes,Yes
Female,Disapprove,Graduate degree,Asian,Yes,No,No
